Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;1;0;-2
1;BANJA-LUKA;8;5;2
2;BIHAĆ;13;10;7
3;BIJELJINA;-1;-3;-6
4;BILEĆA;2;0;-2
5;BOS.BROD;5;2;-2
6;BOS.DUBICA;10;6;3
7;BOS.GRADIŠKA;9;5;1
8;BOS.GRAHOVO;9;8;7
9;BOS.KRUPA;12;9;6
10;BOS.NOVI;12;8;5
11;BOS.PETROVAC;10;8;6
12;BOS.ŠAMAC;3;0;-4
13;BRATUNAC;-3;-4;-5
14;BRČKO;1;-2;-5
15;BREZA;1;1;0
16;BUGOJNO;4;4;3
17;BUSOVAČA;3;2;2
18;BUŽIM;13;10;6
19;CAZIN;13;10;7
20;ČAJNIČE;-2;-3;-3
21;ČAPLJINA;5;3;1
22;ČELIĆ;1;-2;-4
23;ČELINAC;7;4;2
24;ČITLUK;5;3;1
25;DERVENTA;5;2;-1
26;DOBOJ;4;1;-1
27;DONJIVAKUF;5;4;3
28;DRVAR;10;8;7
29;FOČA;0;-1;-2
30;FOJNICA;2;2;2
31;GACKO;1;0;-2
32;GLAMOČ;7;6;6
33;GORAŽDE;-2;-2;-3
34;GORNJIVAKUF;4;3;3
35;GRAČANICA;3;0;-2
36;GRADAČAC;3;0;-3
37;GRUDE;5;4;3
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-1;-2;-3
40;LIVNO;6;6;6
41;ILIJAŠ;1;1;0
42;JABLANICA;3;3;2
43;JAJCE;6;5;3
44;KAKANJ;2;1;0
45;KALESIJA;0;-2;-3
46;KALINOVIK;1;0;-1
47;KISELJAK;2;1;1
48;KLADANJ;0;-1;-2
49;KLJUČ;9;7;5
50;KONJIC;2;2;1
51;KOTOR-VAROŠ;6;4;2
52;KREŠEVO;2;2;2
53;KUPRES;5;5;4
54;LAKTAŠI;8;5;1
55;LOPARE;1;-2;-4
56;LUKAVAC;2;0;-2
57;LJUBINJE;4;1;-1
58;LJUBUŠKI;5;4;2
59;MAGLAJ;3;1;-1
60;MODRIČA;4;1;-3
61;MOSTAR;4;2;1
62;MRKONJIĆ-GRAD;7;5;4
63;NEUM;6;3;1
64;NEVESINJE;3;1;0
65;NOVITRAVNIK;4;3;2
66;ODŽAK;4;0;-3
67;OLOVO;0;-1;-1
68;ORAŠJE;2;-1;-5
69;PALE;0;-1;-1
70;POSUŠJE;5;4;3
71;PRIJEDOR;10;7;4
72;PRNJAVOR;6;3;0
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-3;-4;-4
76;SANSKI-MOST;10;7;4
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;6;4;2
79;SOKOLAC;-1;-1;-2
80;SRBAC;7;4;0
81;SREBRENICA;-3;-3;-4
82;SREBRENIK;2;0;-3
83;STOLAC;4;2;0
84;ŠEKOVIĆI;0;-2;-3
85;ŠIPOVO;7;5;4
86;ŠIROKI-BRIJEG;5;3;2
87;TESLIĆ;4;2;0
88;TEŠANJ;4;2;0
89;TOMISLAV-GRAD;5;5;4
90;TRAVNIK;4;3;2
91;TREBINJE;3;0;-2
92;TRNOVO;0;0;-1
93;TUZLA;1;-1;-3
94;UGLJEVIK;0;-2;-5
95;VAREŠ;1;0;0
96;V.KLADUŠA;14;10;7
97;VISOKO;1;1;1
98;VIŠEGRAD;-3;-3;-4
99;VITEZ;3;3;2
100;VLASENICA;-1;-2;-3
101;ZAVIDOVIĆI;3;1;-1
102;ZENICA;3;2;1
103;ZVORNIK;-1;-3;-4
104;ŽEPA;-3;-3;-3
105;ŽEPČE;3;2;0
106;ŽIVINICE;1;-1;-3
