Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;-2;0;1
1;BANJA-LUKA;2;5;8
2;BIHAĆ;7;10;13
3;BIJELJINA;-6;-3;0
4;BILEĆA;-3;0;3
5;BOS.BROD;-3;2;6
6;BOS.DUBICA;2;6;11
7;BOS.GRADIŠKA;1;5;9
8;BOS.GRAHOVO;7;8;9
9;BOS.KRUPA;6;9;12
10;BOS.NOVI;4;8;12
11;BOS.PETROVAC;6;8;11
12;BOS.ŠAMAC;-4;0;4
13;BRATUNAC;-5;-4;-3
14;BRČKO;-5;-2;2
15;BREZA;0;1;1
16;BUGOJNO;3;4;5
17;BUSOVAČA;1;2;3
18;BUŽIM;6;10;14
19;CAZIN;6;10;14
20;ČAJNIČE;-3;-3;-2
21;ČAPLJINA;1;3;5
22;ČELIĆ;-4;-2;1
23;ČELINAC;2;4;7
24;ČITLUK;1;3;5
25;DERVENTA;-2;2;6
26;DOBOJ;-2;1;4
27;DONJIVAKUF;3;4;5
28;DRVAR;6;8;10
29;FOČA;-2;-1;0
30;FOJNICA;2;2;2
31;GACKO;-2;0;1
32;GLAMOČ;6;6;7
33;GORAŽDE;-3;-2;-2
34;GORNJIVAKUF;3;3;4
35;GRAČANICA;-2;0;3
36;GRADAČAC;-3;0;3
37;GRUDE;3;4;5
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-3;-2;-1
40;HLIVNO;6;6;6
41;ILIJAŠ;0;1;1
42;JABLANICA;2;3;3
43;JAJCE;3;5;6
44;KAKANJ;0;1;2
45;KALESIJA;-4;-2;0
46;KALINOVIK;-1;0;1
47;KISELJAK;1;1;2
48;KLADANJ;-2;-1;0
49;KLJUČ;4;7;9
50;KONJIC;1;2;2
51;KOTOR-VAROŠ;2;4;7
52;KREŠEVO;2;2;2
53;KUPRES;4;5;5
54;LAKTAŠI;1;5;8
55;LOPARE;-4;-2;1
56;LUKAVAC;-3;0;2
57;LJUBINJE;-1;1;4
58;LJUBUŠKI;2;4;5
59;MAGLAJ;-1;1;4
60;MODRIČA;-3;1;4
61;MOSTAR;1;2;4
62;MRKONJIĆ-GRAD;4;5;7
63;NEUM;1;3;6
64;NEVESINJE;0;1;3
65;NOVITRAVNIK;2;3;4
66;ODŽAK;-3;0;4
67;OLOVO;-1;-1;0
68;ORAŠJE;-5;-1;3
69;PALE;-1;-1;0
70;POSUŠJE;3;4;5
71;PRIJEDOR;3;7;11
72;PRNJAVOR;0;3;6
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-4;-4;-3
76;SANSKI-MOST;4;7;10
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;2;4;6
79;SOKOLAC;-2;-1;-1
80;SRBAC;0;4;8
81;SREBRENICA;-4;-3;-3
82;SREBRENIK;-3;0;3
83;STOLAC;0;2;4
84;ŠEKOVIĆI;-3;-2;0
85;ŠIPOVO;4;5;7
86;ŠIROKI-BRIJEG;2;3;5
87;TESLIĆ;0;2;5
88;TEŠANJ;-1;2;4
89;TOMISLAV-GRAD;4;5;5
90;TRAVNIK;2;3;4
91;TREBINJE;-3;0;3
92;TRNOVO;-1;0;0
93;TUZLA;-3;-1;1
94;UGLJEVIK;-5;-2;0
95;VAREŠ;-1;0;1
96;V.KLADUŠA;6;10;15
97;VISOKO;1;1;1
98;VIŠEGRAD;-4;-3;-3
99;VITEZ;2;3;4
100;VLASENICA;-3;-2;-1
101;ZAVIDOVIĆI;-1;1;3
102;ZENICA;1;2;3
103;ZVORNIK;-4;-3;-1
104;ŽEPA;-3;-3;-3
105;ŽEPČE;0;2;3
106;ŽIVINICE;-3;-1;1
