Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;-1;0;0
1;BANJA-LUKA;4;5;6
2;BIHAĆ;10;10;11
3;BIJELJINA;-4;-3;-3
4;BILEĆA;0;0;0
5;BOS.BROD;1;2;2
6;BOS.DUBICA;6;6;7
7;BOS.GRADIŠKA;4;5;6
8;BOS.GRAHOVO;8;8;8
9;BOS.KRUPA;8;9;10
10;BOS.NOVI;7;8;9
11;BOS.PETROVAC;8;8;9
12;BOS.ŠAMAC;-1;0;1
13;BRATUNAC;-4;-4;-3
14;BRČKO;-2;-2;-1
15;BREZA;1;1;1
16;BUGOJNO;4;4;4
17;BUSOVAČA;2;2;2
18;BUŽIM;9;10;10
19;CAZIN;9;10;11
20;ČAJNIČE;-3;-3;-2
21;ČAPLJINA;3;3;3
22;ČELIĆ;-2;-2;-1
23;ČELINAC;4;4;5
24;ČITLUK;3;3;3
25;DERVENTA;1;2;3
26;DOBOJ;1;1;2
27;DONJIVAKUF;4;4;4
28;DRVAR;8;8;8
29;FOČA;-2;-1;-1
30;FOJNICA;2;2;2
31;GACKO;-1;0;0
32;GLAMOČ;6;6;6
33;GORAŽDE;-2;-2;-2
34;GORNJIVAKUF;3;3;3
35;GRAČANICA;0;0;1
36;GRADAČAC;-1;0;1
37;GRUDE;4;4;4
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-2;-2;-2
40;HLIVNO;6;6;6
41;ILIJAŠ;1;1;1
42;JABLANICA;3;3;3
43;JAJCE;4;5;5
44;KAKANJ;1;1;1
45;KALESIJA;-2;-2;-1
46;KALINOVIK;0;0;0
47;KISELJAK;1;1;1
48;KLADANJ;-1;-1;-1
49;KLJUČ;6;7;7
50;KONJIC;2;2;2
51;KOTOR-VAROŠ;4;4;5
52;KREŠEVO;2;2;2
53;KUPRES;5;5;5
54;LAKTAŠI;4;5;5
55;LOPARE;-2;-2;-1
56;LUKAVAC;-1;0;0
57;LJUBINJE;1;1;2
58;LJUBUŠKI;3;4;4
59;MAGLAJ;1;1;2
60;MODRIČA;0;1;1
61;MOSTAR;2;2;3
62;MRKONJIĆ-GRAD;5;5;6
63;NEUM;3;3;4
64;NEVESINJE;1;1;2
65;NOVITRAVNIK;3;3;3
66;ODŽAK;0;0;1
67;OLOVO;-1;-1;0
68;ORAŠJE;-2;-1;0
69;PALE;-1;-1;-1
70;POSUŠJE;4;4;5
71;PRIJEDOR;6;7;8
72;PRNJAVOR;2;3;4
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-4;-4;-4
76;SANSKI-MOST;7;7;8
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;4;4;5
79;SOKOLAC;-2;-1;-1
80;SRBAC;3;4;4
81;SREBRENICA;-4;-3;-3
82;SREBRENIK;-1;0;0
83;STOLAC;1;2;2
84;ŠEKOVIĆI;-2;-2;-1
85;ŠIPOVO;5;5;6
86;ŠIROKI-BRIJEG;3;3;4
87;TESLIĆ;2;2;3
88;TEŠANJ;1;2;2
89;TOMISLAV-GRAD;5;5;5
90;TRAVNIK;3;3;3
91;TREBINJE;0;0;1
92;TRNOVO;0;0;0
93;TUZLA;-1;-1;-1
94;UGLJEVIK;-3;-2;-2
95;VAREŠ;0;0;1
96;V.KLADUŠA;10;10;11
97;VISOKO;1;1;1
98;VIŠEGRAD;-3;-3;-3
99;VITEZ;2;3;3
100;VLASENICA;-2;-2;-2
101;ZAVIDOVIĆI;1;1;1
102;ZENICA;2;2;2
103;ZVORNIK;-3;-3;-2
104;ŽEPA;-3;-3;-3
105;ŽEPČE;1;2;2
106;ŽIVINICE;-1;-1;-1
