Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;0;0;0
1;BANJA-LUKA;5;5;5
2;BIHAĆ;10;10;10
3;BIJELJINA;-3;-3;-3
4;BILEĆA;0;0;0
5;BOS.BROD;2;2;1
6;BOS.DUBICA;7;6;6
7;BOS.GRADIŠKA;5;5;5
8;BOS.GRAHOVO;8;8;8
9;BOS.KRUPA;9;9;9
10;BOS.NOVI;8;8;8
11;BOS.PETROVAC;8;8;8
12;BOS.ŠAMAC;0;0;0
13;BRATUNAC;-4;-4;-4
14;BRČKO;-1;-2;-2
15;BREZA;1;1;1
16;BUGOJNO;4;4;4
17;BUSOVAČA;2;2;2
18;BUŽIM;10;10;9
19;CAZIN;10;10;10
20;ČAJNIČE;-3;-3;-3
21;ČAPLJINA;3;3;3
22;ČELIĆ;-1;-2;-2
23;ČELINAC;5;4;4
24;ČITLUK;3;3;3
25;DERVENTA;2;2;2
26;DOBOJ;1;1;1
27;DONJIVAKUF;4;4;4
28;DRVAR;8;8;8
29;FOČA;-1;-1;-1
30;FOJNICA;2;2;2
31;GACKO;0;0;-1
32;GLAMOČ;6;6;6
33;GORAŽDE;-2;-2;-2
34;GORNJIVAKUF;3;3;3
35;GRAČANICA;1;0;0
36;GRADAČAC;0;0;0
37;GRUDE;4;4;4
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-2;-2;-2
40;HLIVNO;6;6;6
41;ILIJAŠ;1;1;1
42;JABLANICA;3;3;3
43;JAJCE;5;5;5
44;KAKANJ;1;1;1
45;KALESIJA;-2;-2;-2
46;KALINOVIK;0;0;0
47;KISELJAK;1;1;1
48;KLADANJ;-1;-1;-1
49;KLJUČ;7;7;7
50;KONJIC;2;2;2
51;KOTOR-VAROŠ;4;4;4
52;KREŠEVO;2;2;2
53;KUPRES;5;5;5
54;LAKTAŠI;5;5;4
55;LOPARE;-2;-2;-2
56;LUKAVAC;0;0;-1
57;LJUBINJE;1;1;1
58;LJUBUŠKI;4;4;3
59;MAGLAJ;1;1;1
60;MODRIČA;1;1;0
61;MOSTAR;3;2;2
62;MRKONJIĆ-GRAD;5;5;5
63;NEUM;3;3;3
64;NEVESINJE;1;1;1
65;NOVITRAVNIK;3;3;3
66;ODŽAK;1;0;0
67;OLOVO;-1;-1;-1
68;ORAŠJE;-1;-1;-1
69;PALE;-1;-1;-1
70;POSUŠJE;4;4;4
71;PRIJEDOR;7;7;7
72;PRNJAVOR;3;3;3
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-4;-4;-4
76;SANSKI-MOST;7;7;7
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;4;4;4
79;SOKOLAC;-1;-1;-1
80;SRBAC;4;4;3
81;SREBRENICA;-3;-3;-4
82;SREBRENIK;0;0;0
83;STOLAC;2;2;2
84;ŠEKOVIĆI;-2;-2;-2
85;ŠIPOVO;5;5;5
86;ŠIROKI-BRIJEG;3;3;3
87;TESLIĆ;2;2;2
88;TEŠANJ;2;2;2
89;TOMISLAV-GRAD;5;5;5
90;TRAVNIK;3;3;3
91;TREBINJE;0;0;0
92;TRNOVO;0;0;0
93;TUZLA;-1;-1;-1
94;UGLJEVIK;-2;-2;-2
95;VAREŠ;0;0;0
96;V.KLADUŠA;11;10;10
97;VISOKO;1;1;1
98;VIŠEGRAD;-3;-3;-3
99;VITEZ;3;3;3
100;VLASENICA;-2;-2;-2
101;ZAVIDOVIĆI;1;1;1
102;ZENICA;2;2;2
103;ZVORNIK;-3;-3;-3
104;ŽEPA;-3;-3;-3
105;ŽEPČE;2;2;1
106;ŽIVINICE;-1;-1;-1
Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;-1;0;1
1;BANJA-LUKA;3;5;6
2;BIHAĆ;9;10;12
3;BIJELJINA;-5;-3;-2
4;BILEĆA;-1;0;1
5;BOS.BROD;0;2;4
6;BOS.DUBICA;4;6;9
7;BOS.GRADIŠKA;3;5;7
8;BOS.GRAHOVO;8;8;9
9;BOS.KRUPA;7;9;11
10;BOS.NOVI;6;8;10
11;BOS.PETROVAC;7;8;9
12;BOS.ŠAMAC;-2;0;2
13;BRATUNAC;-4;-4;-3
14;BRČKO;-3;-2;0
15;BREZA;0;1;1
16;BUGOJNO;4;4;4
17;BUSOVAČA;2;2;3
18;BUŽIM;8;10;12
19;CAZIN;8;10;12
20;ČAJNIČE;-3;-3;-2
21;ČAPLJINA;2;3;4
22;ČELIĆ;-3;-2;0
23;ČELINAC;3;4;6
24;ČITLUK;2;3;4
25;DERVENTA;0;2;4
26;DOBOJ;0;1;3
27;DONJIVAKUF;4;4;5
28;DRVAR;7;8;9
29;FOČA;-2;-1;-1
30;FOJNICA;2;2;2
31;GACKO;-1;0;0
32;GLAMOČ;6;6;7
33;GORAŽDE;-2;-2;-2
34;GORNJIVAKUF;3;3;3
35;GRAČANICA;-1;0;2
36;GRADAČAC;-2;0;2
37;GRUDE;3;4;5
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-2;-2;-2
40;HLIVNO;6;6;6
41;ILIJAŠ;0;1;1
42;JABLANICA;2;3;3
43;JAJCE;4;5;5
44;KAKANJ;1;1;2
45;KALESIJA;-3;-2;-1
46;KALINOVIK;-1;0;0
47;KISELJAK;1;1;2
48;KLADANJ;-2;-1;0
49;KLJUČ;6;7;8
50;KONJIC;2;2;2
51;KOTOR-VAROŠ;3;4;5
52;KREŠEVO;2;2;2
53;KUPRES;4;5;5
54;LAKTAŠI;3;5;6
55;LOPARE;-3;-2;0
56;LUKAVAC;-2;0;1
57;LJUBINJE;0;1;3
58;LJUBUŠKI;3;4;4
59;MAGLAJ;0;1;2
60;MODRIČA;-1;1;2
61;MOSTAR;2;2;3
62;MRKONJIĆ-GRAD;4;5;6
63;NEUM;2;3;5
64;NEVESINJE;0;1;2
65;NOVITRAVNIK;3;3;4
66;ODŽAK;-2;0;2
67;OLOVO;-1;-1;0
68;ORAŠJE;-3;-1;1
69;PALE;-1;-1;0
70;POSUŠJE;4;4;5
71;PRIJEDOR;5;7;9
72;PRNJAVOR;1;3;5
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-4;-4;-3
76;SANSKI-MOST;6;7;9
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;3;4;5
