Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;0;0;-1
1;BANJA-LUKA;6;5;4
2;BIHAĆ;11;10;9
3;BIJELJINA;-2;-3;-4
4;BILEĆA;1;0;-1
5;BOS.BROD;3;2;0
6;BOS.DUBICA;8;6;5
7;BOS.GRADIŠKA;6;5;3
8;BOS.GRAHOVO;9;8;8
9;BOS.KRUPA;10;9;8
10;BOS.NOVI;10;8;7
11;BOS.PETROVAC;9;8;7
12;BOS.ŠAMAC;1;0;-2
13;BRATUNAC;-3;-4;-4
14;BRČKO;0;-2;-3
15;BREZA;1;1;0
16;BUGOJNO;4;4;4
17;BUSOVAČA;2;2;2
18;BUŽIM;11;10;8
19;CAZIN;11;10;9
20;ČAJNIČE;-2;-3;-3
21;ČAPLJINA;4;3;2
22;ČELIĆ;0;-2;-3
23;ČELINAC;6;4;3
24;ČITLUK;4;3;2
25;DERVENTA;3;2;1
26;DOBOJ;2;1;0
27;DONJIVAKUF;4;4;4
28;DRVAR;9;8;8
29;FOČA;-1;-1;-2
30;FOJNICA;2;2;2
31;GACKO;0;0;-1
32;GLAMOČ;7;6;6
33;GORAŽDE;-2;-2;-2
34;GORNJIVAKUF;3;3;3
35;GRAČANICA;2;0;-1
36;GRADAČAC;1;0;-1
37;GRUDE;5;4;4
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-2;-2;-2
40;HLIVNO;6;6;6
41;ILIJAŠ;1;1;1
42;JABLANICA;3;3;2
43;JAJCE;5;5;4
44;KAKANJ;2;1;1
45;KALESIJA;-1;-2;-2
46;KALINOVIK;0;0;0
47;KISELJAK;2;1;1
48;KLADANJ;-1;-1;-1
49;KLJUČ;7;7;6
50;KONJIC;2;2;2
51;KOTOR-VAROŠ;5;4;3
52;KREŠEVO;2;2;2
53;KUPRES;5;5;4
54;LAKTAŠI;6;5;3
55;LOPARE;-1;-2;-3
56;LUKAVAC;0;0;-1
57;LJUBINJE;2;1;0
58;LJUBUŠKI;4;4;3
59;MAGLAJ;2;1;0
60;MODRIČA;2;1;-1
61;MOSTAR;3;2;2
62;MRKONJIĆ-GRAD;6;5;5
63;NEUM;4;3;2
64;NEVESINJE;2;1;1
65;NOVITRAVNIK;3;3;3
66;ODŽAK;2;0;-1
67;OLOVO;0;-1;-1
68;ORAŠJE;0;-1;-3
69;PALE;-1;-1;-1
70;POSUŠJE;5;4;4
71;PRIJEDOR;8;7;5
72;PRNJAVOR;4;3;2
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-4;-4;-4
76;SANSKI-MOST;8;7;6
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;5;4;3
79;SOKOLAC;-1;-1;-2
80;SRBAC;5;4;2
81;SREBRENICA;-3;-3;-4
82;SREBRENIK;1;0;-1
83;STOLAC;3;2;1
84;ŠEKOVIĆI;-1;-2;-2
85;ŠIPOVO;6;5;5
86;ŠIROKI-BRIJEG;4;3;3
87;TESLIĆ;3;2;1
88;TEŠANJ;3;2;1
89;TOMISLAV-GRAD;5;5;5
90;TRAVNIK;4;3;3
91;TREBINJE;2;0;-1
92;TRNOVO;0;0;0
93;TUZLA;0;-1;-2
94;UGLJEVIK;-1;-2;-3
95;VAREŠ;1;0;0
96;V.KLADUŠA;12;10;9
97;VISOKO;1;1;1
98;VIŠEGRAD;-3;-3;-4
99;VITEZ;3;3;2
100;VLASENICA;-2;-2;-2
101;ZAVIDOVIĆI;2;1;0
102;ZENICA;3;2;2
103;ZVORNIK;-2;-3;-3
104;ŽEPA;-3;-3;-3
105;ŽEPČE;2;2;1
106;ŽIVINICE;0;-1;-2
