Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;1;0;-1
1;BANJA-LUKA;7;5;3
2;BIHAĆ;12;10;8
3;BIJELJINA;-1;-3;-5
4;BILEĆA;2;0;-2
5;BOS.BROD;4;2;-1
6;BOS.DUBICA;9;6;4
7;BOS.GRADIŠKA;7;5;2
8;BOS.GRAHOVO;9;8;8
9;BOS.KRUPA;11;9;7
10;BOS.NOVI;10;8;6
11;BOS.PETROVAC;10;8;7
12;BOS.ŠAMAC;2;0;-2
13;BRATUNAC;-3;-4;-4
14;BRČKO;0;-2;-3
15;BREZA;1;1;0
16;BUGOJNO;4;4;4
17;BUSOVAČA;3;2;2
18;BUŽIM;12;10;7
19;CAZIN;12;10;8
20;ČAJNIČE;-2;-3;-3
21;ČAPLJINA;4;3;2
22;ČELIĆ;0;-2;-3
23;ČELINAC;6;4;3
24;ČITLUK;4;3;2
25;DERVENTA;4;2;0
26;DOBOJ;3;1;0
27;DONJIVAKUF;5;4;4
28;DRVAR;9;8;7
29;FOČA;-1;-1;-2
30;FOJNICA;2;2;2
31;GACKO;1;0;-2
32;GLAMOČ;7;6;6
33;GORAŽDE;-2;-2;-2
34;GORNJIVAKUF;3;3;3
35;GRAČANICA;2;0;-1
36;GRADAČAC;2;0;-2
37;GRUDE;5;4;3
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-2;-2;-2
40;HLIVNO;6;6;6
41;ILIJAŠ;1;1;0
42;JABLANICA;3;3;2
43;JAJCE;6;5;4
44;KAKANJ;2;1;1
45;KALESIJA;-1;-2;-3
46;KALINOVIK;0;0;-1
47;KISELJAK;2;1;1
48;KLADANJ;0;-1;-2
49;KLJUČ;8;7;5
50;KONJIC;2;2;2
51;KOTOR-VAROŠ;6;4;3
52;KREŠEVO;2;2;2
53;KUPRES;5;5;4
54;LAKTAŠI;6;5;3
55;LOPARE;0;-2;-3
56;LUKAVAC;1;0;-2
57;LJUBINJE;3;1;0
58;LJUBUŠKI;5;4;3
59;MAGLAJ;3;1;0
60;MODRIČA;3;1;-2
61;MOSTAR;3;2;2
62;MRKONJIĆ-GRAD;6;5;4
63;NEUM;5;3;2
64;NEVESINJE;2;1;0
65;NOVITRAVNIK;4;3;3
66;ODŽAK;3;0;-2
67;OLOVO;0;-1;-1
68;ORAŠJE;1;-1;-3
69;PALE;0;-1;-1
70;POSUŠJE;5;4;4
71;PRIJEDOR;9;7;5
72;PRNJAVOR;5;3;1
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-3;-4;-4
76;SANSKI-MOST;9;7;5
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;5;4;3
79;SOKOLAC;-1;-1;-2
80;SRBAC;6;4;1
81;SREBRENICA;-3;-3;-4
82;SREBRENIK;1;0;-2
83;STOLAC;3;2;1
84;ŠEKOVIĆI;-1;-2;-3
85;ŠIPOVO;6;5;5
86;ŠIROKI-BRIJEG;4;3;3
87;TESLIĆ;4;2;1
88;TEŠANJ;3;2;0
89;TOMISLAV-GRAD;5;5;5
90;TRAVNIK;4;3;2
91;TREBINJE;2;0;-1
92;TRNOVO;0;0;0
93;TUZLA;0;-1;-2
94;UGLJEVIK;-1;-2;-4
95;VAREŠ;1;0;0
96;V.KLADUŠA;13;10;8
97;VISOKO;1;1;1
98;VIŠEGRAD;-3;-3;-4
99;VITEZ;3;3;2
100;VLASENICA;-1;-2;-3
101;ZAVIDOVIĆI;2;1;0
102;ZENICA;3;2;1
103;ZVORNIK;-2;-3;-4
104;ŽEPA;-3;-3;-3
105;ŽEPČE;3;2;0
106;ŽIVINICE;0;-1;-2
