Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;0;0;0
1;BANJA-LUKA;5;5;5
2;BIHAĆ;10;10;10
3;BIJELJINA;-3;-3;-3
4;BILEĆA;0;0;0
5;BOS.BROD;2;2;1
6;BOS.DUBICA;7;6;6
7;BOS.GRADIŠKA;5;5;5
8;BOS.GRAHOVO;8;8;8
9;BOS.KRUPA;9;9;9
10;BOS.NOVI;8;8;8
11;BOS.PETROVAC;8;8;8
12;BOS.ŠAMAC;0;0;0
13;BRATUNAC;-4;-4;-4
14;BRČKO;-1;-2;-2
15;BREZA;1;1;1
16;BUGOJNO;4;4;4
17;BUSOVAČA;2;2;2
18;BUŽIM;10;10;9
19;CAZIN;10;10;10
20;ČAJNIČE;-3;-3;-3
21;ČAPLJINA;3;3;3
22;ČELIĆ;-1;-2;-2
23;ČELINAC;5;4;4
24;ČITLUK;3;3;3
25;DERVENTA;2;2;2
26;DOBOJ;1;1;1
27;DONJIVAKUF;4;4;4
28;DRVAR;8;8;8
29;FOČA;-1;-1;-1
30;FOJNICA;2;2;2
31;GACKO;0;0;-1
32;GLAMOČ;6;6;6
33;GORAŽDE;-2;-2;-2
34;GORNJIVAKUF;3;3;3
35;GRAČANICA;1;0;0
36;GRADAČAC;0;0;0
37;GRUDE;4;4;4
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-2;-2;-2
40;HLIVNO;6;6;6
41;ILIJAŠ;1;1;1
42;JABLANICA;3;3;3
43;JAJCE;5;5;5
44;KAKANJ;1;1;1
45;KALESIJA;-2;-2;-2
46;KALINOVIK;0;0;0
47;KISELJAK;1;1;1
48;KLADANJ;-1;-1;-1
49;KLJUČ;7;7;7
50;KONJIC;2;2;2
51;KOTOR-VAROŠ;4;4;4
52;KREŠEVO;2;2;2
53;KUPRES;5;5;5
54;LAKTAŠI;5;5;4
55;LOPARE;-2;-2;-2
56;LUKAVAC;0;0;-1
57;LJUBINJE;1;1;1
58;LJUBUŠKI;4;4;3
59;MAGLAJ;1;1;1
60;MODRIČA;1;1;0
61;MOSTAR;3;2;2
62;MRKONJIĆ-GRAD;5;5;5
63;NEUM;3;3;3
64;NEVESINJE;1;1;1
65;NOVITRAVNIK;3;3;3
66;ODŽAK;1;0;0
67;OLOVO;-1;-1;-1
68;ORAŠJE;-1;-1;-1
69;PALE;-1;-1;-1
70;POSUŠJE;4;4;4
71;PRIJEDOR;7;7;7
72;PRNJAVOR;3;3;3
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-4;-4;-4
76;SANSKI-MOST;7;7;7
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;4;4;4
79;SOKOLAC;-1;-1;-1
80;SRBAC;4;4;3
81;SREBRENICA;-3;-3;-4
82;SREBRENIK;0;0;0
83;STOLAC;2;2;2
84;ŠEKOVIĆI;-2;-2;-2
85;ŠIPOVO;5;5;5
86;ŠIROKI-BRIJEG;3;3;3
87;TESLIĆ;2;2;2
88;TEŠANJ;2;2;2
89;TOMISLAV-GRAD;5;5;5
90;TRAVNIK;3;3;3
91;TREBINJE;0;0;0
92;TRNOVO;0;0;0
93;TUZLA;-1;-1;-1
94;UGLJEVIK;-2;-2;-2
95;VAREŠ;0;0;0
96;V.KLADUŠA;11;10;10
97;VISOKO;1;1;1
98;VIŠEGRAD;-3;-3;-3
99;VITEZ;3;3;3
100;VLASENICA;-2;-2;-2
101;ZAVIDOVIĆI;1;1;1
102;ZENICA;2;2;2
103;ZVORNIK;-3;-3;-3
104;ŽEPA;-3;-3;-3
105;ŽEPČE;2;2;1
106;ŽIVINICE;-1;-1;-1
