Broj;Općina;Zora-I.Sunca;Podne;Ikindija-Z.Sunca-Jacija
0;BANOVIĆI;-2;0;1
1;BANJA-LUKA;3;5;7
2;BIHAĆ;8;10;12
3;BIJELJINA;-5;-3;-1
4;BILEĆA;-2;0;2
5;BOS.BROD;-1;2;5
6;BOS.DUBICA;3;6;10
7;BOS.GRADIŠKA;2;5;8
8;BOS.GRAHOVO;8;8;9
9;BOS.KRUPA;7;9;11
10;BOS.NOVI;5;8;11
11;BOS.PETROVAC;7;8;10
12;BOS.ŠAMAC;-3;0;3
13;BRATUNAC;-4;-4;-3
14;BRČKO;-4;-2;1
15;BREZA;0;1;1
16;BUGOJNO;3;4;4
17;BUSOVAČA;2;2;3
18;BUŽIM;7;10;12
19;CAZIN;7;10;13
20;ČAJNIČE;-3;-3;-2
21;ČAPLJINA;1;3;4
22;ČELIĆ;-4;-2;0
23;ČELINAC;2;4;6
24;ČITLUK;2;3;4
25;DERVENTA;-1;2;5
26;DOBOJ;-1;1;3
27;DONJIVAKUF;3;4;5
28;DRVAR;7;8;9
29;FOČA;-2;-1;-1
30;FOJNICA;2;2;2
31;GACKO;-2;0;1
32;GLAMOČ;6;6;7
33;GORAŽDE;-3;-2;-2
34;GORNJIVAKUF;3;3;4
35;GRAČANICA;-1;0;2
36;GRADAČAC;-2;0;2
37;GRUDE;3;4;5
38;HADŽIĆI;1;1;1
39;HAN-PIJESAK;-3;-2;-2
40;HLIVNO;6;6;6
41;ILIJAŠ;0;1;1
42;JABLANICA;2;3;3
43;JAJCE;4;5;6
44;KAKANJ;1;1;2
45;KALESIJA;-3;-2;0
46;KALINOVIK;-1;0;1
47;KISELJAK;1;1;2
48;KLADANJ;-2;-1;0
49;KLJUČ;5;7;8
50;KONJIC;1;2;2
51;KOTOR-VAROŠ;2;4;6
52;KREŠEVO;2;2;2
53;KUPRES;4;5;5
54;LAKTAŠI;2;5;7
55;LOPARE;-3;-2;0
56;LUKAVAC;-2;0;1
57;LJUBINJE;0;1;3
58;LJUBUŠKI;2;4;5
59;MAGLAJ;0;1;3
60;MODRIČA;-2;1;3
61;MOSTAR;1;2;3
62;MRKONJIĆ-GRAD;4;5;7
63;NEUM;1;3;5
64;NEVESINJE;0;1;2
65;NOVITRAVNIK;2;3;4
66;ODŽAK;-2;0;3
67;OLOVO;-1;-1;0
68;ORAŠJE;-4;-1;2
69;PALE;-1;-1;0
70;POSUŠJE;4;4;5
71;PRIJEDOR;4;7;9
72;PRNJAVOR;1;3;5
73;PROZOR;3;3;3
74;ROGATICA;-2;-2;-2
75;RUDO;-4;-4;-3
76;SANSKI-MOST;5;7;9
77;SARAJEVO;0;0;0
78;SKENDER-VAKUF;3;4;6
79;SOKOLAC;-2;-1;-1
80;SRBAC;1;4;7
81;SREBRENICA;-4;-3;-3
82;SREBRENIK;-2;0;2
83;STOLAC;0;2;3
84;ŠEKOVIĆI;-3;-2;-1
85;ŠIPOVO;4;5;6
86;ŠIROKI-BRIJEG;2;3;4
87;TESLIĆ;1;2;4
88;TEŠANJ;0;2;4
89;TOMISLAV-GRAD;5;5;5
90;TRAVNIK;2;3;4
91;TREBINJE;-2;0;3
92;TRNOVO;0;0;0
93;TUZLA;-3;-1;1
94;UGLJEVIK;-4;-2;0
95;VAREŠ;0;0;1
96;V.KLADUŠA;7;10;14
97;VISOKO;1;1;1
98;VIŠEGRAD;-4;-3;-3
99;VITEZ;2;3;3
100;VLASENICA;-3;-2;-1
101;ZAVIDOVIĆI;0;1;2
102;ZENICA;1;2;3
103;ZVORNIK;-4;-3;-1
104;ŽEPA;-3;-3;-3
105;ŽEPČE;0;2;3
106;ŽIVINICE;-2;-1;1
